policy,regime,vud,correct_utility_per_task,far,severity_weighted_far,acceptance_coverage,correct_acceptance_rate,failure_declaration_rate,cost_per_task,cost_per_correct_task,deadline_miss_rate,budget_violation_rate,scheduler_overhead_seconds,stale_evidence_invalidations,accepted,false_accepts,tasks,far_upper_95
linear_thompson,high_task_difficulty,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5671252469852044,850.6878704778067,0.0,0.0,1.484286678924036,0.0,0.0,0.0,1500.0,1.0
linear_thompson,low_monetary_budgets,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6290966342073311,943.6449513109967,0.0,0.0,1.5646693040416721,13.0,0.0,0.0,1500.0,1.0
linear_thompson,missing_causal_overlap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.563955352875771,563.955352875771,0.0,0.0,1.053636791977624,4.0,0.0,0.0,1000.0,1.0
linear_thompson,noisy_verifiers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5658484336759111,848.7726505138667,0.0,0.0,1.4653474970218667,1.0,0.0,0.0,1500.0,1.0
linear_thompson,pareto_cost_duration,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45103393635397604,451.03393635397606,0.008,0.0,0.9818058240398386,0.0,0.0,0.0,1000.0,1.0
linear_thompson,shared_specification_trap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5657669105597954,565.7669105597954,0.0,0.0,0.9747957770669018,3.0,0.0,0.0,1000.0,1.0
linear_thompson,tight_deadlines,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6419383989058156,962.9075983587234,0.014,0.0,1.5645880120864604,12.0,0.0,0.0,1500.0,1.0
linear_thompson,verifier_degradation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5583102831249469,558.3102831249469,0.0,0.0,1.0724997829729546,6.0,0.0,0.0,1000.0,1.0
linucb,balanced_default,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5485570753504543,822.8356130256815,0.0,0.0,0.34835460400972806,0.0,0.0,0.0,1500.0,1.0
linucb,competence_drift,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5555914938295068,555.5914938295068,0.0,0.0,0.2235403549602779,0.0,0.0,0.0,1000.0,1.0
linucb,confidence_inversion,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5507305994861815,550.7305994861815,0.0,0.0,0.2240856569933385,0.0,0.0,0.0,1000.0,1.0
